"x","y"
-1.07074,51.42884
-0.48421,51.58654
-1.654832,52.206462
-1.626495,53.457927
-3.26174,56.58399
-1.71255,53.73009
-2.877066,53.225695
-2.235078,53.407588
-1.740618,53.67485
-2.155119,52.561482
-2.176905,51.718614
-1.41194,53.77014
-2.152339,52.992307
-3.390187,51.519986
-1.538197,54.833223
-0.095889,51.240738
-0.447061,51.443502
-2.05496,53.72433
-1.77945,53.72624
-4.031564,52.708185
-3.060937,55.90948
-2.13293,55.7682
0.129067,51.246642
-3.424517,56.124262
-0.1119,51.650296
-1.232199,52.942312
-3.970615,51.912897
-1.09052,51.26511
-2.466366,52.625505
-2.415264,52.533206
-0.77514,51.55812
-1.696347,53.863759
-2.133722,52.448895
-4.363249,55.909032
-3.222553,51.499163
-2.964385,54.393618
1.2877,52.639
-3.047158,52.982591
-3.208,51.54653
1.26377,52.80879
-2.781046,57.504253
-2.496331,53.492922
0.159633,51.588134
-1.160727,53.577157
-4.988727,56.094993
-4.541438,50.550061
-2.151843,51.720965
-0.337612,51.703601
-3.69975,55.099797
-0.330351,53.754318
-0.712177,50.814956
-2.564751,51.912724
-7.300077,53.68075
-2.44309,52.642931
-3.18139,52.98218
-4.047224,52.961815
-4.993124,50.410511
-0.115056,51.80228
-1.890658,53.734375
-3.144593,52.658866
-2.365373,52.449029
-0.358645,51.048367
0.174,51.17315
-2.779312,54.365931
-5.28299,50.09558
-3.0739,53.1833
-0.34021,51.36048
-3.58401,51.60814
-6.584857,54.197676
-2.489814,53.512236
-2.3175,52.122784
-1.413947,53.740971
-4.333492,55.610887
-3.299634,51.533136
0.08537,50.98312
-4.931853,50.38805
-1.235195,52.894235
-1.626275,53.679689
-6.671568,54.22393
-0.86281,50.84487
-3.582885,54.522835
-3.332514,55.729471
-1.913786,53.249035
-3.389154,51.836518
-0.294588,51.827356
-1.332986,53.025184
-9.577977,51.877744
-4.955448,51.652539
-0.113197,51.290939
-0.149335,51.69488
-3.734159,56.703443
-2.74723,52.71071
-1.448065,53.693698
-0.384269,51.669049
-0.799,53.0747
-4.48154,54.95665
-1.44266,52.91107
-6.543975,54.185018
-3.392365,55.949451
-3.416436,56.047668
0.47592,50.9894
